Age,Gender Identity,Gender Alignment,Main Species
31,male,cisgender,wolf
32,genderqueer,complicated,arcticfox
29,male,cisgender,horse
15,male,cisgender,
19,male,cisgender,wolf
24,male,transgender,otherdog
25,male,cisgender,lion
27,male,cisgender,tiger
20,male,cisgender,mouse
22,genderqueer,transgender,otherdog
25,male,cisgender,otherfeline
31,genderqueer,complicated,tiger
20,male,cisgender,horse
43,male,cisgender,snowleopard
19,male,cisgender,otherfox
23,mostly_male,cisgender,redfox
28,female,transgender,wolf
24,male,cisgender,wolf
25,male,cisgender,wolf
28,male,cisgender,otherdog
24,male,cisgender,dragon
32,genderqueer,transgender,other
16,female,cisgender,hyaena
39,mostly_male,cisgender,wolf
33,male,cisgender,collie
38,male,cisgender,wolf
25,mostly_female,transgender,arcticfox
19,male,cisgender,otherfeline
22,male,cisgender,otherdog
18,male,cisgender,wolf
27,male,cisgender,redfox
20,mostly_male,cisgender,arcticfox
36,male,cisgender,redfox
30,nonbinary_nos,complicated,riverotter
21,male,cisgender,wolf
22,mostly_male,cisgender,otherfox
28,male,cisgender,redfox
27,genderqueer,complicated,wolf
22,mostly_male,cisgender,husky
30,male,cisgender,anthro
16,male,cisgender,wolf
36,mostly_female,cisgender,
32,male,cisgender,wolf
19,genderqueer,transgender,domesticcat
28,male,cisgender,other
33,male,cisgender,grizzlybear
38,mostly_male,complicated,otherfeline
42,male,cisgender,cougar
20,male,cisgender,greyfox
26,male,cisgender,husky
28,male,cisgender,domesticcat
26,female,cisgender,wolf
20,male,cisgender,husky
29,male,cisgender,dragon
39,male,cisgender,wolf
29,male,cisgender,dragon
23,male,cisgender,husky
27,male,cisgender,germanshepherd
16,mostly_female,cisgender,fennec
24,male,cisgender,wolf
31,male,cisgender,wolf
20,male,cisgender,otherfeline
31,female,cisgender,panther
22,male,cisgender,otherdog
28,male,cisgender,othermustelid
26,female,transgender,collie
24,male,cisgender,other
24,male,cisgender,domesticcat
41,male,cisgender,lion
25,genderqueer,complicated,wolf
21,male,cisgender,other
20,genderqueer,transgender,otherdog
22,male,cisgender,redfox
31,male,cisgender,wolf
33,male,cisgender,snowleopard
26,male,cisgender,rabbit
25,nonbinary_nos,complicated,wolf
21,male,cisgender,dragon
24,male,cisgender,dragon
19,male,complicated,dragon
32,male,cisgender,wolf
19,male,cisgender,dragon
28,mostly_male,cisgender,other
26,male,cisgender,redfox
20,male,cisgender,othercanine
22,male,cisgender,wolf
22,male,cisgender,othermusteloid
24,male,cisgender,other
30,neutrois,complicated,lizard
29,female,cisgender,wolf
21,male,cisgender,wolf
27,male,cisgender,raccoon
28,male,cisgender,redfox
23,male,cisgender,
26,both,complicated,dragon
28,mostly_male,cisgender,other
28,male,cisgender,wolf
29,female,cisgender,other
24,genderqueer,complicated,otherfeline
28,male,cisgender,wolf
25,male,cisgender,wolf
31,male,cisgender,dragon
25,female,cisgender,dragon
31,male,cisgender,wolf
22,male,cisgender,redfox
21,male,cisgender,wolf
21,mostly_female,complicated,snowleopard
29,mostly_female,transgender,dinosaur
22,male,cisgender,
