age,orientation
27,Pansexual
31,Mostly heterosexual
21,Pansexual
19,Pansexual
27,"Bisexual, leaning homosexual"
37,Pansexual
32,Pansexual
27,Pansexual
28,Mostly heterosexual
17,Completely homosexual
21,Asexual
34,Completely heterosexual
28,Completely heterosexual
18,Completely homosexual
22,Completely heterosexual
20,Mostly heterosexual
20,"Bisexual, leaning homosexual"
24,Completely homosexual
29,Completely homosexual
25,Mostly homosexual
30,Pansexual
24,Bisexual
16,Bisexual
20,Completely homosexual
32,"Bisexual, leaning heterosexual"
35,Pansexual
20,Pansexual
23,Mostly homosexual
19,Pansexual
42,Asexual
29,"Bisexual, leaning heterosexual"
23,Mostly homosexual
30,Mostly heterosexual
25,Pansexual
39,Asexual
28,Asexual
30,Pansexual
26,Completely heterosexual
29,Mostly homosexual
40,Other
30,Completely heterosexual
18,Pansexual
30,Completely heterosexual
18,Completely homosexual
27,Completely heterosexual
24,Mostly homosexual
22,Pansexual
59,Completely heterosexual
17,Asexual
27,Completely homosexual
45,Mostly homosexual
24,"Bisexual, leaning heterosexual"
30,Bisexual
39,Completely heterosexual
21,Bisexual
36,Mostly homosexual
26,Completely homosexual
25,Bisexual
22,"Bisexual, leaning homosexual"
32,Pansexual
27,Pansexual
27,Mostly homosexual
19,Bisexual
17,"Bisexual, leaning heterosexual"
18,"Bisexual, leaning homosexual"
21,Completely homosexual
22,Mostly homosexual
23,"Bisexual, leaning homosexual"
19,Completely homosexual
27,"Bisexual, leaning heterosexual"
27,Mostly homosexual
34,Mostly homosexual
40,Completely homosexual
20,Mostly homosexual
21,Mostly homosexual
23,Mostly homosexual
22,Bisexual
27,Mostly heterosexual
30,Completely homosexual
16,Completely heterosexual
24,Completely heterosexual
15,Completely heterosexual
29,Completely heterosexual
17,Asexual
25,"Bisexual, leaning homosexual"
21,Mostly homosexual
37,Completely homosexual
31,Completely homosexual
16,Mostly homosexual
29,Mostly homosexual
37,Completely homosexual
20,Mostly heterosexual
27,Bisexual
38,Completely homosexual
63,Completely homosexual
20,Completely homosexual
14,Bisexual
21,Completely heterosexual
23,"Bisexual, leaning heterosexual"
22,"Bisexual, leaning homosexual"
16,Bisexual
26,"Bisexual, leaning heterosexual"
27,"Bisexual, leaning heterosexual"
44,"Bisexual, leaning homosexual"
31,Pansexual
20,Pansexual
24,Mostly homosexual
26,Mostly homosexual
27,Pansexual
26,Completely heterosexual
20,"Bisexual, leaning homosexual"
15,Bisexual
20,Mostly heterosexual
16,Completely heterosexual
26,"Bisexual, leaning heterosexual"
26,Mostly heterosexual
30,Mostly heterosexual
16,Completely heterosexual
17,"Bisexual, leaning homosexual"
29,Completely heterosexual
28,Bisexual
20,Completely homosexual
48,"Bisexual, leaning heterosexual"
23,Bisexual
19,Completely heterosexual
27,Completely homosexual
21,Mostly heterosexual
28,Completely homosexual
22,Mostly homosexual
22,Pansexual
20,Other
25,Completely heterosexual
20,Bisexual
22,Mostly heterosexual
22,"Bisexual, leaning homosexual"
24,Bisexual
20,"Bisexual, leaning heterosexual"
24,Completely homosexual
26,Mostly heterosexual
24,Completely homosexual
26,Other
26,Completely heterosexual
20,"Bisexual, leaning heterosexual"
20,"Bisexual, leaning heterosexual"
23,Bisexual
17,Completely heterosexual
18,"Bisexual, leaning heterosexual"
19,Bisexual
22,"Bisexual, leaning homosexual"
26,Mostly homosexual
27,Bisexual
24,Pansexual
21,Other
26,Completely homosexual
25,Mostly homosexual
47,Completely homosexual
26,Mostly homosexual
23,"Bisexual, leaning homosexual"
27,Mostly heterosexual
20,Pansexual
18,Mostly homosexual
26,Bisexual
15,Asexual
24,Mostly heterosexual
21,Mostly heterosexual
20,Other
16,Other
24,"Bisexual, leaning heterosexual"
33,Completely homosexual
24,Asexual
28,Pansexual
23,Completely homosexual
41,Asexual
19,"Bisexual, leaning heterosexual"
26,Mostly heterosexual
25,Mostly heterosexual
45,Mostly homosexual
25,Completely heterosexual
20,Completely heterosexual
31,Completely homosexual
20,Pansexual
19,Bisexual
26,"Bisexual, leaning heterosexual"
26,Completely homosexual
30,Bisexual
22,Bisexual
21,Mostly heterosexual
34,Pansexual
18,Completely homosexual
33,Completely homosexual
26,Mostly heterosexual
26,"Bisexual, leaning homosexual"
32,"Bisexual, leaning heterosexual"
24,Mostly heterosexual
19,Completely homosexual
19,"Bisexual, leaning heterosexual"
25,Bisexual
22,Pansexual
19,"Bisexual, leaning homosexual"
25,"Bisexual, leaning heterosexual"
15,Bisexual
18,"Bisexual, leaning heterosexual"
23,Pansexual
19,Asexual
18,Bisexual
18,Bisexual
20,Completely homosexual
24,"Bisexual, leaning heterosexual"
24,Mostly heterosexual
29,Bisexual
23,Pansexual
33,Pansexual
36,Mostly heterosexual
23,Pansexual
19,Completely homosexual
21,Mostly heterosexual
17,"Bisexual, leaning heterosexual"
26,Completely homosexual
36,Completely heterosexual
24,Completely homosexual
20,Pansexual
21,Asexual
20,Bisexual
26,Mostly heterosexual
22,Pansexual
19,Mostly homosexual
27,"Bisexual, leaning heterosexual"
25,Bisexual
18,Bisexual
30,Asexual
25,"Bisexual, leaning homosexual"
16,Mostly heterosexual
22,Completely heterosexual
23,"Bisexual, leaning heterosexual"
25,Pansexual
18,Mostly homosexual
19,Completely homosexual
30,"Bisexual, leaning heterosexual"
18,Completely heterosexual
14,Other
17,Completely heterosexual
27,"Bisexual, leaning homosexual"
18,Asexual
18,Mostly homosexual
15,"Bisexual, leaning heterosexual"
18,Mostly homosexual
17,Other
19,Completely heterosexual
19,Completely heterosexual
24,"Bisexual, leaning heterosexual"
19,Completely homosexual
23,Mostly homosexual
32,"Bisexual, leaning heterosexual"
20,Mostly homosexual
34,"Bisexual, leaning homosexual"
28,Completely heterosexual
19,"Bisexual, leaning homosexual"
15,Completely heterosexual
24,Bisexual
2,Completely homosexual
21,Asexual
18,Mostly homosexual
30,Mostly heterosexual
21,Asexual
22,Other
22,Pansexual
25,Mostly heterosexual
29,Completely heterosexual
17,Completely homosexual
23,Mostly homosexual
20,Mostly heterosexual
23,Mostly homosexual
20,"Bisexual, leaning heterosexual"
31,Completely homosexual
26,Pansexual
27,Mostly homosexual
23,Completely homosexual
26,Completely homosexual
19,Completely homosexual
34,Bisexual
24,Completely homosexual
27,Completely homosexual
22,Bisexual
24,Mostly heterosexual
20,Completely homosexual
18,"Bisexual, leaning heterosexual"
18,Mostly homosexual
15,Asexual
13,Mostly heterosexual
30,Mostly homosexual
16,Completely heterosexual
19,Pansexual
19,Mostly homosexual
15,Completely homosexual
33,Completely heterosexual
16,Completely heterosexual
20,Mostly heterosexual
23,"Bisexual, leaning heterosexual"
30,Mostly heterosexual
21,Bisexual
33,Asexual
35,Other
19,Mostly heterosexual
14,Pansexual
27,Bisexual
34,Pansexual
19,"Bisexual, leaning homosexual"
26,"Bisexual, leaning homosexual"
