Species,Sexual dominance,Romantic dominance,Social dominance
deer,-1,2,0
domesticcat; other,-1,-1,-1
dragon,0,0,-1
wolf,0,0,1
other,-1,0,2
otherbear,0,0,0
otherfox; raptor; griffin,0,0,-1
raptor,0,0,1
kitsune,0,0,2
arcticfox,1,-1,-1
wolf,0,1,1
other,-1,0,-2
otherfeline; other,-1,-1,0
othermusteloid,0,-1,-1
,-1,-2,-1
otherfox,-2,-2,1
wolf,0,1,-1
tiger; panther,0,1,0
redfox,0,0,-1
otherfeline,-2,-1,-2
deer,-1,-1,-1
rat,-1,-1,-1
wolf; husky,0,0,0
otherfeline,0,0,-1
jackal,0,0,0
otherfox,1,1,0
rabbit,0,0,0
other,0,-1,-2
othermustelid,1,0,-1
rabbit,-2,-1,-2
cougar; otherfeline,,1,0
wolf; husky,-1,-1,-1
hyaena,1,1,0
dragon,-1,-1,0
riverotter,1,1,1
wolf,-1,0,-1
greyfox; rabbit,1,-1,-2
redfox,-1,1,-2
polarbear,-1,0,-1
lizard,1,0,0
other,0,0,-2
arcticfox,-1,0,0
redfox,-1,0,0
grizzlybear,0,0,0
wolf,1,0,0
wolf,-1,1,-1
other,-2,-2,0
wolf,2,2,2
otherungulate; other,-1,-1,1
other,1,1,1
dragon,2,2,1
otherfox,0,-1,-1
wolf; greyfox; fennec; snowleopard,-1,-1,-1
deer,-2,1,1
redpanda,-1,-1,1
,-2,-2,-1
otherfeline,-1,0,0
wolf,1,1,0
domesticcat,-2,-2,-2
arcticfox,0,-1,1
snowleopard,1,-1,0
lion,1,1,-1
wolf; otherdog,,-1,0
wolf; otherfox; other,1,-1,1
otherfox,-1,-2,0
other,0,0,1
germanshepherd; otherdog,0,0,-1
other,1,-1,0
redfox; kitsune; fennec; other,-1,-2,-1
wolf,-1,1,0
wolf,1,0,-1
jackal,1,0,-1
bat,-1,0,-1
wolf; arcticfox,0,0,0
othercanine,0,0,0
otherreptile,0,0,0
otherfox,-1,-1,-2
redfox,-1,-1,0
domesticcat,0,0,0
wolf; otherdog; othermarsupial,0,1,-1
other,0,0,0
wolf; other,-2,-1,1
riverotter,-1,-2,0
lion,1,1,1
coyote,-1,-1,0
dragon,-1,-1,2
dragon,-2,-1,1
other,-2,0,-1
wolf,-1,-1,-2
lizard,-1,0,-2
wolf; arcticfox,-2,-1,-1
wolf; otherfox,-1,1,0
rat,-1,1,1
other,0,0,1
dragon,1,0,-2
lemur,0,-1,1
wolf,-2,0,1
tiger,-1,2,1
tiger,-1,0,-1
redfox,-2,-2,1
wolf,-1,-1,-1
fennec,-2,-1,-2
tiger,0,1,2
wolf; dragon,1,0,1
wolf; griffin,0,-1,0
other,-1,1,0
lion,0,1,-1
wolf,-1,0,1
mouse; rat,0,0,-1
dragon,-1,2,-1
other,-1,-2,-2
othercanine,-2,-1,0
othercanine,-2,-1,0
domesticcat; otherfeline,-1,-1,1
domesticcat,-1,-1,-1
husky; otherdog,0,0,-1
redpanda,1,1,1
otherreptile; raccoon,-2,-1,0
redfox,-1,-1,-2
husky,-2,0,0
tiger; redpanda,0,,
domesticcat,-2,-1,0
other,-1,-1,-1
othermarsupial; other,,,0
riverotter,-2,-1,0
germanshepherd,0,0,1
redfox,0,1,-1
wolf,0,0,1
