  id   | empty_count | full_count | sum 
  9934 |          14 |         88 | 102
  4368 |          14 |         88 | 102
 11183 |          13 |         89 | 102
  3606 |          13 |         89 | 102
  8637 |          13 |         89 | 102
  8617 |          14 |         88 | 102
  4827 |          13 |         89 | 102
  3816 |          13 |         89 | 102
  7631 |          10 |         92 | 102
  1983 |          14 |         88 | 102
 10732 |          14 |         88 | 102
  2634 |          13 |         89 | 102
 10424 |          14 |         88 | 102
  3359 |          14 |         88 | 102
  6332 |          14 |         88 | 102
  7057 |          14 |         88 | 102
  6664 |          13 |         89 | 102
 10674 |          14 |         88 | 102
  4804 |          13 |         89 | 102
  6004 |          14 |         88 | 102
 11715 |          12 |         90 | 102
  4574 |          14 |         88 | 102
  5618 |          13 |         89 | 102
  1184 |           9 |         93 | 102
  6755 |          12 |         90 | 102
  5719 |          13 |         89 | 102
  2054 |          13 |         89 | 102
 11258 |          13 |         89 | 102
  4585 |          13 |         89 | 102
  3384 |          15 |         87 | 102
  9938 |          12 |         90 | 102
  4709 |          13 |         89 | 102
  3427 |          14 |         88 | 102
  2402 |          13 |         89 | 102
  6460 |          13 |         89 | 102
 10147 |          13 |         89 | 102
  8541 |          14 |         88 | 102
  9536 |          13 |         89 | 102
 11548 |          13 |         89 | 102
  4684 |          14 |         88 | 102
  8910 |          13 |         89 | 102
  3729 |          13 |         89 | 102
  2646 |          14 |         88 | 102
 10281 |          12 |         90 | 102
  9125 |          13 |         89 | 102
   428 |          14 |         88 | 102
  3112 |          13 |         89 | 102
  3885 |          10 |         92 | 102
  3483 |          13 |         89 | 102
  5057 |          15 |         87 | 102
  8968 |          12 |         90 | 102
  1608 |          12 |         90 | 102
  9049 |          12 |         91 | 103
  7466 |          13 |         90 | 103
  4054 |          12 |         91 | 103
  4491 |          11 |         92 | 103
  8434 |          13 |         90 | 103
  5620 |          11 |         92 | 103
  1468 |          13 |         90 | 103
  1822 |          13 |         90 | 103
  9440 |          13 |         90 | 103
  1733 |          14 |         89 | 103
  1623 |          13 |         90 | 103
 11558 |          10 |         93 | 103
 10160 |          11 |         92 | 103
  9452 |          13 |         90 | 103
  1618 |          14 |         89 | 103
 10548 |          12 |         91 | 103
 10121 |          13 |         90 | 103
  4323 |          12 |         91 | 103
  2738 |          13 |         90 | 103
  2703 |          14 |         89 | 103
  5792 |          14 |         89 | 103
 10814 |          13 |         90 | 103
  2763 |          13 |         90 | 103
 11397 |          14 |         89 | 103
  6194 |          14 |         89 | 103
  4572 |          13 |         90 | 103
  7733 |          11 |         92 | 103
  8724 |          14 |         89 | 103
  5600 |          14 |         89 | 103
  8770 |          15 |         88 | 103
  9498 |          11 |         92 | 103
  1376 |          14 |         89 | 103
  2385 |          11 |         92 | 103
  7936 |          14 |         89 | 103
  2356 |          13 |         90 | 103
  3083 |          18 |         85 | 103
 10502 |          14 |         89 | 103
  4110 |          11 |         92 | 103
 11021 |          14 |         89 | 103
  9174 |          15 |         88 | 103
  3263 |          11 |         92 | 103
  9296 |          12 |         91 | 103
  2548 |          13 |         90 | 103
   709 |          13 |         90 | 103
 10856 |          14 |         89 | 103
  6263 |          13 |         90 | 103
  9303 |          13 |         90 | 103
  7930 |          14 |         89 | 103
  5587 |          14 |         89 | 103
  5431 |          16 |         87 | 103
  7918 |          14 |         89 | 103
  9523 |          14 |         89 | 103
  9767 |          12 |         91 | 103
  1968 |          11 |         92 | 103
  5344 |          11 |         92 | 103
  1498 |          12 |         91 | 103
  7641 |          13 |         90 | 103
